,2019-07-01
0,-46.34425735473633
1,-46.21525192260742
2,-46.20249938964844
3,-46.090938568115234
4,-46.46161651611328
5,-45.771602630615234
6,-45.785579681396484
7,-47.01736831665039
8,-46.72486114501953
9,-47.31950759887695
10,-48.37897491455078
11,-48.1922721862793
12,-50.75418472290039
13,-56.710514068603516
14,-65.04322814941406
15,-64.30685424804688
16,-98.4925537109375
17,-103.68597412109375
18,-260.12353515625
19,-284.24920654296875
20,-642.4431762695312
21,-1040.35107421875
22,-1225.1739501953125
23,-1693.374267578125
24,-3117.550048828125
25,-3802.2587890625
26,-5633.70458984375
27,-4649.7705078125
28,-7401.0302734375
29,-5996.9375
30,-10042.673828125
31,-9017.44140625
32,-13014.326171875
33,-16922.837890625
34,-20815.896484375
35,-19120.44140625
36,-23777.962890625
37,-25287.3515625
38,-28722.287109375
39,-23273.79296875
